Account Name,Account ID,CSM Name,Account Tier,Projected Deal Value,Months Active,"Website with Elements, Onetime #","Website with Elements, Recurring #","Website without Elements, One-time #","Website without Elements, Recurring #","Campaign Pages, One-time #","Campaign Pages, Recurring #","P2P, One-time #","P2P, Recurring #","Virtual Terminal, One-time #","Virtual Terminal, Recurring #","API, One-time #","API, Recurring #","Recurring Migrations, #","Totals, One-time #","Totals, Recurring #","Website with Elements, One-time %","Website with Elements, Recurring %","Website without Elements, One-time %","Website without Elements, Recurring %","Campaign Pages, One-time %","Campaign Pages, Recurring %","P2P, One-time %","P2P, Recurring %","Total, One-time %","Total, Recurring %","Employer Name Filled, Donors %","USED Suggested Amount, Donations %","INCREASED Suggested Amount, Donations %","DECREASED Suggested Amount, Donations %","HAD NO Suggested Amount, Donations %",Total Donations Volume $
San Diego Food Bank,ANPKBVVS,Peter Strom,Tier 1 ($100K+),"$100,000",25,"$54,756","$13,080","$2,773,417","$471,412","$2,055,451","$263,801","$143,984",$455,$0,$0,$0,$0,$0,"$5,027,608","$748,748",80.7%,19.3%,85.5%,14.5%,88.6%,11.4%,99.7%,0.3%,87.0%,13.0%,9.7%,6.9%,57.4%,35.5%,0.2%,"$5,776,355"
American Diabetes Association,AXDZQYPT,Tara Broughel,Tier 2 ($50K–$100K),"$100,000",25,"$166,169","$88,165","$3,965,071","$556,181","$765,092","$28,962",$273,$0,"$85,101","$38,262",$0,$0,"$64,930","$4,981,706","$776,500",65.3%,34.7%,87.7%,12.3%,96.4%,3.6%,100.0%,0.0%,86.5%,13.5%,3.4%,9.0%,27.1%,63.7%,0.2%,"$5,758,206"
The Joshua Fund,AKABBKSS,Stephanie Barrett,Tier 1 ($100K+),"$100,000",25,"$2,599,574","$1,175,637","$189,566","$36,113","$5,752","$4,713",$0,$0,"$97,005","$110,280",$0,$0,"$1,350,740","$2,891,896","$2,677,482",68.9%,31.1%,84.0%,16.0%,55.0%,45.0%,,,51.9%,48.1%,0.0%,43.8%,25.6%,30.0%,0.6%,"$5,569,379"
SU2C American Airlines,AGDVEKDU,Wil Pope,,,25,$25,$0,"$5,489,165",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$5,489,190",$0,100.0%,0.0%,100.0%,0.0%,,,,,100.0%,0.0%,11.7%,99.9%,0.1%,0.0%,0.0%,"$5,489,190"
IFAW US/INT,AWMWZJRX,Peter Strom,Tier 1 ($100K+),"$261,000",22,"$161,042","$48,833","$1,608,058","$326,885","$1,387,059","$267,343",$0,$0,$75,"$5,074",$0,$0,"$1,526,752","$3,156,233","$2,174,887",76.7%,23.3%,83.1%,16.9%,83.8%,16.2%,,,59.2%,40.8%,0.0%,39.5%,19.4%,41.1%,0.0%,"$5,331,120"
BC SPCA,AYWVYXKU,Stephanie Barrett,Tier 1 ($100K+),"$180,000",19,"$2,935,183","$381,637","$270,919","$32,713","$177,183","$122,564",$0,$0,$0,$79,$0,$0,"$1,103,390","$3,383,285","$1,640,383",88.5%,11.5%,89.2%,10.8%,59.1%,40.9%,,,67.3%,32.7%,0.0%,41.6%,19.2%,38.4%,0.8%,"$5,023,668"
Society of St. Vincent de Paul of Phoenix,ACFYBJHQ,Rachael Nuwash,Tier 1 ($100K+),"$81,900",9,"$273,203","$3,425","$1,305,611","$36,395","$2,511,239","$66,915","$128,871",$479,"$424,026","$56,670",$0,$0,"$175,807","$4,642,950","$339,691",98.8%,1.2%,97.3%,2.7%,97.4%,2.6%,99.6%,0.4%,93.2%,6.8%,7.7%,22.3%,11.8%,15.3%,50.6%,"$4,982,641"
NYC Muslim Center,ABAGJSNG,Tara Broughel,Tier 1 ($100K+),,23,"$4,653,448","$128,009","$99,178","$3,943","$24,320",$59,$0,$0,"$5,767","$8,272",$0,$0,$0,"$4,782,712","$140,283",97.3%,2.7%,96.2%,3.8%,99.8%,0.2%,,,97.2%,2.8%,0.0%,74.4%,9.7%,14.9%,1.0%,"$4,922,996"
Council on American-Islamic Relations,AANRTYJY,Mandy Gatton,Tier 1 ($100K+),"$130,000",25,"$3,852,515","$468,770","$234,873","$44,770","$129,152","$113,682",$6,$0,$0,$50,$0,$0,$0,"$4,216,546","$627,273",89.2%,10.8%,84.0%,16.0%,53.2%,46.8%,100.0%,0.0%,87.1%,12.9%,6.7%,47.2%,26.1%,25.8%,0.9%,"$4,843,819"
Food Bank of Contra Costa and Solano,AXNLQDYH,Stephanie Barrett,Tier 2 ($50K–$100K),"$70,000",10,"$137,865","$7,327","$3,110,563","$169,071","$23,740","$1,919","$397,979","$3,459",$25,$150,$0,$0,"$987,387","$3,670,171","$1,169,313",95.0%,5.0%,94.8%,5.2%,92.5%,7.5%,99.1%,0.9%,75.8%,24.2%,10.7%,12.1%,34.4%,53.4%,0.1%,"$4,839,483"
Gleaners Community Food Bank,AQXGTPZS,Peter Strom,Tier 1 ($100K+),"$85,000",25,"$534,638","$86,438","$474,924","$33,606","$2,713,737","$188,118",$0,$0,"$239,911","$14,350",$0,$0,"$418,747","$3,963,209","$741,259",86.1%,13.9%,93.4%,6.6%,93.5%,6.5%,,,84.2%,15.8%,0.0%,36.1%,19.3%,27.2%,17.4%,"$4,704,469"
Northwest Harvest,AEVYBPZT,Tara Broughel,Tier 2 ($50K–$100K),"$75,000",25,"$2,781,029","$438,048","$431,911","$71,242","$56,034","$9,524","$87,445","$7,332","$131,330","$4,345",$0,$0,"$683,935","$3,487,749","$1,214,426",86.4%,13.6%,85.8%,14.2%,85.5%,14.5%,92.3%,7.7%,74.2%,25.8%,6.4%,5.1%,8.9%,7.9%,78.1%,"$4,702,175"
CAFOD,AMHQWEVX,Mandy Gatton,Tier 2 ($50K–$100K),"$68,270",25,"$1,905,238","$372,760","$1,803,782","$457,902","$114,819","$11,706","$3,900",$0,$0,$0,$0,$0,$0,"$3,827,738","$842,369",83.6%,16.4%,79.8%,20.2%,90.7%,9.3%,100.0%,0.0%,82.0%,18.0%,0.0%,45.1%,19.3%,34.8%,0.8%,"$4,670,107"
World Concern,AYJLCWXL,,,,20,"$29,571","$6,852","$284,610","$79,475","$1,983,273","$459,934",$0,$0,"$90,087","$369,652",$0,$0,"$1,311,143","$2,387,541","$2,227,055",81.2%,18.8%,78.2%,21.8%,81.2%,18.8%,,,51.7%,48.3%,0.0%,8.3%,44.3%,46.5%,0.9%,"$4,614,596"
David Hernandez Ministries,APQKCPHZ,Stephanie Barrett,Tier 2 ($50K–$100K),"$50,000",25,"$1,023,715","$2,824,051","$179,112","$122,807","$325,756","$55,579",$0,$0,"$10,430","$27,458",$0,$0,"$15,827","$1,539,013","$3,045,721",26.6%,73.4%,59.3%,40.7%,85.4%,14.6%,,,33.6%,66.4%,0.0%,70.0%,11.3%,16.8%,1.8%,"$4,584,734"
Boys & Girls Clubs of America,ALGMTNTC,Mandy Gatton,Tier 1 ($100K+),"$117,774",25,"$336,369","$47,374","$2,859,430","$422,324","$180,201","$24,253","$25,699","$2,657","$250,697","$29,736",$0,$0,"$208,884","$3,652,395","$735,227",87.7%,12.3%,87.1%,12.9%,88.1%,11.9%,90.6%,9.4%,83.2%,16.8%,6.4%,15.8%,21.6%,61.3%,1.3%,"$4,387,622"
Calgary Food Bank,AVCWRLMW,Mandy Gatton,Tier 1 ($100K+),"$450,000",8,"$3,127,264","$31,720","$295,908","$35,457","$690,809","$3,542",$0,$0,"$8,617","$9,599",$0,$0,$0,"$4,122,598","$80,318",99.0%,1.0%,89.3%,10.7%,99.5%,0.5%,,,98.1%,1.9%,0.0%,32.6%,30.5%,36.9%,0.1%,"$4,202,916"
Wheeler Mission,ATEVEEFP,Mandy Gatton,Tier 2 ($50K–$100K),"$42,840",25,"$306,133","$36,647","$2,371,141","$253,457","$153,723",$135,$348,$0,"$153,727","$38,521",$0,$0,"$867,294","$2,985,073","$1,196,053",89.3%,10.7%,90.3%,9.7%,99.9%,0.1%,100.0%,0.0%,71.4%,28.6%,9.5%,14.1%,30.4%,54.8%,0.7%,"$4,181,126"
ACN - USA English,AWWMGJWJ,Henrique Lucena,Tier 1 ($100K+),"$100,000",25,"$185,375","$21,341","$1,306,994","$275,555","$1,322,404","$224,336",$0,$0,"$200,995","$8,671",$0,$0,"$634,263","$3,015,769","$1,164,166",89.7%,10.3%,82.6%,17.4%,85.5%,14.5%,,,72.1%,27.9%,0.0%,64.5%,16.9%,18.6%,0.1%,"$4,179,935"
The ALS Association,AUHPRTEB,Stephanie Barrett,Tier 1 ($100K+),"$38,000",10,"$1,715,734","$61,656","$2,072,899","$98,071","$132,887","$13,429",$0,$0,$0,$0,$0,$0,$0,"$3,921,519","$173,155",96.5%,3.5%,95.5%,4.5%,90.8%,9.2%,,,95.8%,4.2%,6.5%,8.5%,32.9%,58.6%,0.1%,"$4,094,675"
Hawai‘i Foodbank,AKLVKPQE,Stephanie Barrett,Tier 2 ($50K–$100K),,17,"$2,278,026","$216,415","$255,590","$18,128","$215,988","$2,557","$241,499",$289,"$153,462","$37,344",$0,$0,"$598,545","$3,144,565","$873,278",91.3%,8.7%,93.4%,6.6%,98.8%,1.2%,99.9%,0.1%,78.3%,21.7%,0.0%,13.3%,31.3%,55.0%,0.4%,"$4,017,843"
Undue Medical Debt,AHZARCZC,Peter Strom,Tier 2 ($50K–$100K),"$30,000",25,"$1,909,073","$761,977","$895,870","$52,024",$0,$0,$0,$0,$0,$105,$0,$0,"$276,649","$2,804,943","$1,090,754",71.5%,28.5%,94.5%,5.5%,,,,,72.0%,28.0%,1.8%,25.8%,27.8%,46.2%,0.1%,"$3,895,697"
Radical,AQXHJKUK,Tara Broughel,Tier 2 ($50K–$100K),"$50,000",25,"$1,695,610","$1,038,966","$547,369","$200,536","$45,907","$17,554",$0,$0,"$1,125",$0,$0,$0,"$313,108","$2,290,011","$1,570,164",62.0%,38.0%,73.2%,26.8%,72.3%,27.7%,,,59.3%,40.7%,0.0%,62.1%,11.0%,26.6%,0.2%,"$3,860,175"
Feeding Westchester,AMPUYMUP,Stephanie Barrett,Tier 3 ($20K–$50K),"$20,000",25,"$909,855","$350,194","$1,140,361","$159,227","$324,141","$7,833","$103,095","$6,652","$21,862","$160,697",$0,$0,"$624,248","$2,499,315","$1,308,850",72.2%,27.8%,87.7%,12.3%,97.6%,2.4%,93.9%,6.1%,65.6%,34.4%,7.1%,20.5%,27.0%,40.8%,11.7%,"$3,808,165"
Humaniti,AJDZGJPP,Wil Pope,Tier 2 ($50K–$100K),"$95,000",25,"$1,672,068","$1,346,233","$171,188","$138,363","$357,087","$73,433","$1,381",$121,"$1,430",$0,$0,$0,$0,"$2,203,154","$1,558,150",55.4%,44.6%,55.3%,44.7%,82.9%,17.1%,91.9%,8.1%,58.6%,41.4%,1.5%,35.5%,22.4%,41.3%,0.8%,"$3,761,304"
USA for UNFPA,AWZMSZKB,Luisa Arias,Tier 5 ($5K–10K),,25,"$61,071","$46,062","$2,178,700","$1,167,183","$40,190","$10,942","$3,275",$318,"$20,627","$9,485",$0,$0,"$39,135","$2,303,864","$1,273,124",57.0%,43.0%,65.1%,34.9%,78.6%,21.4%,91.2%,8.8%,64.4%,35.6%,4.6%,14.8%,8.4%,64.5%,12.2%,"$3,576,988"
Friends of the Israel Defense Forces,ATALZWRN,Henrique Lucena,Tier 1 ($100K+),"$151,520",3,"$886,830",$420,"$20,311",$107,"$2,641,317","$1,219",$0,$0,"$12,514",$0,$0,$0,$0,"$3,560,973","$1,746",100.0%,0.0%,99.5%,0.5%,100.0%,0.0%,,,100.0%,0.0%,4.3%,0.9%,0.0%,0.1%,98.9%,"$3,562,719"
Smithsonian Institution,AVCYLAJJ,,,,10,"$86,262","$2,942","$2,835,850","$180,455","$208,295","$9,855",$0,$0,"$84,586",$649,$0,$0,"$51,672","$3,214,993","$245,573",96.7%,3.3%,94.0%,6.0%,95.5%,4.5%,,,92.9%,7.1%,0.0%,31.6%,11.6%,54.4%,2.4%,"$3,460,566"
Let Them Live,ABWENMKQ,Peter Strom,Tier 2 ($50K–$100K),"$59,000",25,"$327,615","$141,577","$17,030","$7,695","$1,315,568","$458,900","$1,494",$993,"$18,715","$10,439",$0,$0,"$1,106,842","$1,680,422","$1,726,446",69.8%,30.2%,68.9%,31.1%,74.1%,25.9%,60.1%,39.9%,49.3%,50.7%,5.5%,79.9%,7.2%,12.4%,0.5%,"$3,406,868"
Women for Women International (US),AEZNPDWT,,,,15,"$20,911","$20,435","$1,000,029","$376,150","$1,066,665","$117,900","$1,789",$0,"$133,296","$30,914",$0,$0,"$626,976","$2,222,690","$1,172,374",50.6%,49.4%,72.7%,27.3%,90.0%,10.0%,100.0%,0.0%,65.5%,34.5%,0.0%,20.7%,20.1%,58.3%,0.9%,"$3,395,065"
Médecins Sans Frontières Ireland,ADLVBFDL,Mandy Gatton,Tier 3 ($20K–$50K),"$48,000",19,"$1,712,867","$212,064","$313,088","$73,339","$879,863","$97,397",$0,$0,$0,$613,$0,$0,$0,"$2,905,819","$383,413",89.0%,11.0%,81.0%,19.0%,90.0%,10.0%,,,88.3%,11.7%,0.0%,3.3%,36.7%,59.3%,0.7%,"$3,289,232"
March of Dimes,AJPYNTWD,Peter Strom,Tier 1 ($100K+),"$126,467",25,"$1,348,570","$281,998","$1,422,240","$209,127","$6,822","$13,525",$0,$0,$500,"$2,580",$0,$0,$0,"$2,778,131","$507,230",82.7%,17.3%,87.2%,12.8%,33.5%,66.5%,,,84.6%,15.4%,7.3%,20.5%,22.6%,56.6%,0.4%,"$3,285,361"
HIAS,AVNBVQPM,Rachael Nuwash,Tier 2 ($50K–$100K),"$30,000",11,"$1,279,641","$37,620","$37,013","$1,875","$1,647,209","$49,127","$72,316",$129,"$14,879",$643,$0,$0,"$130,356","$3,051,058","$219,750",97.1%,2.9%,95.2%,4.8%,97.1%,2.9%,99.8%,0.2%,93.3%,6.7%,2.1%,9.4%,39.9%,50.6%,0.1%,"$3,270,808"
Alzheimer Society of Canada,AEEUYGTC,Stephanie Barrett,Tier 3 ($20K–$50K),"$50,000",25,"$125,406","$10,105","$1,157,467","$124,735","$1,694,496","$70,620",$0,$0,"$54,271","$28,131",$0,$0,$0,"$3,031,640","$233,592",92.5%,7.5%,90.3%,9.7%,96.0%,4.0%,,,92.8%,7.2%,0.0%,9.1%,32.7%,58.1%,0.1%,"$3,265,232"
Matthew 25: Ministries,AYCWZWGY,Stephanie Barrett,Tier 3 ($20K–$50K),"$105,000",25,"$1,160,108","$190,832","$1,402,294","$310,033",$0,$0,$0,$0,"$81,451","$27,293",$0,$0,"$84,720","$2,643,853","$612,877",85.9%,14.1%,81.9%,18.1%,,,,,81.2%,18.8%,5.9%,7.0%,34.6%,58.3%,0.1%,"$3,256,730"
The Food Bank of Waterloo Region,AXRBQVQH,Stephanie Barrett,Tier 3 ($20K–$50K),"$33,000",25,"$1,145,379","$389,623","$914,867","$44,363","$35,406","$1,698","$135,360","$7,670","$143,544","$6,850",$0,$0,"$430,314","$2,374,556","$880,518",74.6%,25.4%,95.4%,4.6%,95.4%,4.6%,94.6%,5.4%,72.9%,27.1%,10.8%,10.8%,34.7%,53.9%,0.6%,"$3,255,074"
The Ottawa Mission,AGBPCSCJ,Rachael Nuwash,Tier 2 ($50K–$100K),"$79,031",25,"$1,453,341","$245,978","$161,121","$37,534","$1,109,222","$35,322","$9,057",$0,"$1,157",$485,$0,$0,"$161,644","$2,733,899","$480,963",85.5%,14.5%,81.1%,18.9%,96.9%,3.1%,100.0%,0.0%,85.0%,15.0%,0.0%,46.4%,21.0%,32.4%,0.3%,"$3,214,862"
Stand Up To Cancer,AYDKPHBH,Rachael Nuwash,Tier 2 ($50K–$100K),,25,"$239,163","$128,416","$1,227,426","$270,364","$1,072,306","$74,630","$10,791",$798,"$47,821","$2,044",$0,$0,"$54,326","$2,597,506","$530,577",65.1%,34.9%,81.9%,18.1%,93.5%,6.5%,93.1%,6.9%,83.0%,17.0%,7.7%,19.2%,27.9%,52.6%,0.4%,"$3,128,084"
Oregon Humane Society,AGWWNSMN,Mandy Gatton,Tier 3 ($20K–$50K),"$46,000",24,"$227,705","$27,108","$1,294,219","$287,193","$11,575","$39,358","$1,370",$0,"$63,674","$214,746",$0,$0,"$950,959","$1,598,543","$1,519,364",89.4%,10.6%,81.8%,18.2%,22.7%,77.3%,100.0%,0.0%,51.3%,48.7%,2.4%,4.7%,30.3%,64.9%,0.1%,"$3,117,906"
Society of St. Vincent de Paul Ireland,AVYLHELK,Mandy Gatton,Tier 1 ($100K+),$0,17,"$2,855,560","$42,149","$92,758","$3,691","$107,117","$2,938",$0,$0,$0,$0,$0,$0,$0,"$3,055,434","$48,778",98.5%,1.5%,96.2%,3.8%,97.3%,2.7%,,,98.4%,1.6%,0.0%,40.1%,24.3%,35.5%,0.1%,"$3,104,212"
National Museum of African American History & Culture,ASQMJVUY,,,,10,"$27,660","$1,785","$2,504,299","$201,501",$0,$0,$0,$0,"$73,462","$15,350",$0,$0,"$275,211","$2,605,421","$493,846",93.9%,6.1%,92.6%,7.4%,,,,,84.1%,15.9%,0.0%,42.6%,15.0%,42.4%,0.0%,"$3,099,267"
Pancreatic Cancer Action Network,ABJJCCQK,Rachael Nuwash,Tier 2 ($50K–$100K),"$68,000",15,"$239,694","$53,470","$2,658,210","$93,103",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$2,897,904","$146,574",81.8%,18.2%,96.6%,3.4%,,,,,95.2%,4.8%,6.0%,12.3%,24.2%,63.5%,0.0%,"$3,044,478"
Rainforest Trust,ACMRCWPB,Tara Broughel,Tier 2 ($50K–$100K),"$50,000",25,"$1,035,815","$524,961","$802,182","$289,382",$832,"$2,230","$10,908",$0,"$6,256","$20,802",$0,$0,"$341,466","$1,855,993","$1,178,841",66.4%,33.6%,73.5%,26.5%,27.2%,72.8%,100.0%,0.0%,61.2%,38.8%,6.4%,10.1%,37.2%,52.3%,0.4%,"$3,034,834"
Mercy-USA for Aid and Development,AGSZYUJQ,Tara Broughel,Tier 2 ($50K–$100K),"$80,000",25,"$1,583,471","$259,405","$697,031","$121,196","$78,557",$995,"$214,828","$23,355",$0,$0,$0,$0,$0,"$2,573,886","$404,951",85.9%,14.1%,85.2%,14.8%,98.7%,1.3%,90.2%,9.8%,86.4%,13.6%,5.5%,20.5%,51.5%,27.5%,0.5%,"$2,978,837"
neverthirst,RWHMSQPD,Emilie Poignet,Tier 4 ($10K–$20K),"$35,000",25,"$144,788","$359,840","$928,069","$227,748","$1,205,837","$11,139","$23,016","$6,140","$1,517","$17,125",$0,$0,"$13,040","$2,303,226","$635,032",28.7%,71.3%,80.3%,19.7%,99.1%,0.9%,78.9%,21.1%,78.4%,21.6%,1.8%,23.2%,52.5%,21.7%,2.6%,"$2,938,259"
InnerScience Research Fund,AKWZXSEB,Rachael Nuwash,Tier 5 ($5K–10K),,25,"$535,179","$550,719","$126,731","$490,974","$718,122","$120,065","$1,187",$815,"$19,336","$38,682","$48,388","$12,966","$212,883","$1,448,942","$1,427,103",49.3%,50.7%,20.5%,79.5%,85.7%,14.3%,59.3%,40.7%,50.4%,49.6%,0.0%,18.7%,26.0%,54.0%,1.3%,"$2,876,045"
Love A Child,AZCTVWQQ,Peter Strom,Tier 2 ($50K–$100K),"$40,000",25,"$179,026","$58,588","$1,120,032","$282,031",$0,$0,$0,$0,"$523,906","$114,733",$0,$0,"$521,912","$1,822,964","$977,263",75.3%,24.7%,79.9%,20.1%,,,,,65.1%,34.9%,0.0%,13.8%,64.5%,21.6%,0.1%,"$2,800,227"
The Jewish Federation of Greater Washington,ANFDKLPL,Natalia Zampieri,Tier 1 ($100K+),"$30,000",25,"$905,897","$46,567","$1,600,839","$104,001","$14,713",$128,"$5,626",$0,"$6,680","$1,053",$0,$0,"$108,751","$2,533,755","$260,499",95.1%,4.9%,93.9%,6.1%,99.1%,0.9%,100.0%,0.0%,90.7%,9.3%,0.0%,7.3%,28.4%,63.5%,0.8%,"$2,794,255"
Crohn's & Colitis Foundation,AVBTATUK,Tara Broughel,Tier 3 ($20K–$50K),"$44,038",25,"$1,279,367","$91,458","$62,655","$9,186","$1,243,189","$91,386",$0,$0,"$6,834","$1,317",$0,$0,$0,"$2,592,045","$193,347",93.3%,6.7%,87.2%,12.8%,93.2%,6.8%,,,93.1%,6.9%,3.3%,10.1%,34.3%,55.4%,0.1%,"$2,785,392"
Diabetes Canada,ACCZQBQS,Mandy Gatton,Tier 3 ($20K–$50K),"$20,000",19,"$22,935",$780,"$2,233,193","$104,717","$2,805",$138,$0,$0,"$5,657","$13,091","$7,587","$282,819","$93,893","$2,272,177","$495,438",96.7%,3.3%,95.5%,4.5%,95.3%,4.7%,,,82.1%,17.9%,0.0%,9.1%,31.2%,59.4%,0.3%,"$2,767,615"
Penny Appeal USA,AADUPHBU,Emilie Poignet,Tier 1 ($100K+),"$100,000",25,"$1,847,294","$500,056","$145,146","$89,922","$88,309","$22,192","$41,606","$9,348",$857,"$6,318",$0,$0,$0,"$2,123,212","$627,836",78.7%,21.3%,61.7%,38.3%,79.9%,20.1%,81.7%,18.3%,77.2%,22.8%,4.4%,12.5%,28.2%,58.9%,0.5%,"$2,751,048"
UMMA,AGCNVMTH,,,,25,"$1,046,977","$1,482,908","$70,507","$129,121",$0,$0,"$15,429",$317,$0,$0,$0,$0,$0,"$1,132,914","$1,612,346",41.4%,58.6%,35.3%,64.7%,,,98.0%,2.0%,41.3%,58.7%,5.1%,29.0%,20.5%,49.7%,0.8%,"$2,745,260"
Dallas Theological Seminary,AUASVNBM,Henrique Lucena,Tier 2 ($50K–$100K),,10,"$1,947,542","$41,378","$46,717","$2,262",$0,$0,$0,$0,"$34,215","$8,865",$0,$0,"$621,821","$2,028,474","$674,327",97.9%,2.1%,95.4%,4.6%,,,,,75.1%,24.9%,3.6%,86.4%,7.1%,4.7%,1.8%,"$2,702,801"
Amazima Ministries,AMUJNGWP,Oscar Gomez,Tier 2 ($50K–$100K),"$15,690",17,"$1,040,033","$114,240","$433,784","$25,083",$0,$0,$0,$0,"$11,715","$1,961",$0,$0,"$1,040,787","$1,485,532","$1,182,072",90.1%,9.9%,94.5%,5.5%,,,,,55.7%,44.3%,5.2%,70.1%,12.1%,17.2%,0.6%,"$2,667,604"
Proverbs 31 Ministries,ARLMLBYH,Rachael Nuwash,Tier 3 ($20K–$50K),,25,"$474,723","$392,646","$415,924","$169,498","$1,118,049","$47,982",$0,$0,"$9,555","$1,040",$0,$0,$0,"$2,018,251","$611,165",54.7%,45.3%,71.0%,29.0%,95.9%,4.1%,,,76.8%,23.2%,0.0%,25.5%,28.4%,43.1%,2.9%,"$2,629,416"
Autism Speaks,AGZKYDGZ,Emilie Poignet,Tier 3 ($20K–$50K),"$55,000",25,"$701,819","$205,205","$625,598","$202,476","$586,275","$125,877",$0,$0,"$72,047","$42,729",$0,$0,"$19,231","$1,985,738","$595,518",77.4%,22.6%,75.5%,24.5%,82.3%,17.7%,,,76.9%,23.1%,0.0%,15.5%,21.2%,63.1%,0.2%,"$2,581,256"
Toronto Humane Society,AKPJEQEY,Stephanie Barrett,Tier 3 ($20K–$50K),,25,"$407,014","$106,160","$46,415","$28,443","$584,269","$69,327","$28,335",$85,"$65,552","$80,481",$0,$0,"$1,164,593","$1,131,586","$1,449,089",79.3%,20.7%,62.0%,38.0%,89.4%,10.6%,99.7%,0.3%,43.8%,56.2%,7.3%,13.3%,30.4%,55.8%,0.5%,"$2,580,675"
Operation Smile Canada,AJYUCFAV,Mandy Gatton,Tier 3 ($20K–$50K),"$20,000",8,"$323,605","$7,621","$1,461,442","$23,731","$523,618","$9,151",$0,$0,$0,$0,"$1,736","$89,479",$0,"$2,310,400","$129,981",97.7%,2.3%,98.4%,1.6%,98.3%,1.7%,,,94.7%,5.3%,0.0%,16.1%,24.7%,59.1%,0.1%,"$2,440,382"
MATW Najam,AMRGMQAT,Rachael Nuwash,,,8,"$15,251","$1,382",$680,$119,"$2,199,520","$150,566",$0,$0,$0,$0,$0,$0,$0,"$2,215,451","$152,067",91.7%,8.3%,85.1%,14.9%,93.6%,6.4%,,,93.6%,6.4%,0.0%,14.5%,14.3%,70.7%,0.4%,"$2,367,518"
Mercy Ships Australia,AWKKWSUU,Luisa Arias,Tier 2 ($50K–$100K),"$75,000",25,"$346,964","$202,736","$778,050","$90,539","$4,035",$67,"$68,408","$12,087","$277,905","$511,292",$0,$0,"$48,280","$1,475,362","$865,000",63.1%,36.9%,89.6%,10.4%,98.4%,1.6%,85.0%,15.0%,63.0%,37.0%,0.0%,8.3%,37.9%,53.2%,0.5%,"$2,340,363"
Central Pennsylvania Food Bank,AKLWPJCD,Mandy Gatton,Tier 3 ($20K–$50K),"$33,600",12,"$537,024","$38,295","$552,195","$35,024","$632,327","$22,084","$54,377","$1,004","$7,723","$14,553",$0,$0,"$440,327","$1,783,645","$551,288",93.3%,6.7%,94.0%,6.0%,96.6%,3.4%,98.2%,1.8%,76.4%,23.6%,8.4%,14.8%,32.3%,51.5%,1.4%,"$2,334,932"
Sleep in Heavenly Peace,AHHBESMB,Emilie Poignet,Tier 4 ($10K–$20K),"$2,300",16,"$26,603","$4,392","$1,658,506","$100,783","$305,381","$2,440",$0,$0,$0,$0,$0,$0,"$229,090","$1,990,490","$336,706",85.8%,14.2%,94.3%,5.7%,99.2%,0.8%,,,85.5%,14.5%,0.4%,9.8%,38.0%,51.7%,0.5%,"$2,327,196"
Surfrider Foundation,AJNCVPHU,Natalia Zampieri,Tier 3 ($20K–$50K),"$40,000",25,"$578,478","$294,057","$618,981","$188,897","$185,823","$44,492","$43,396","$1,156","$38,722","$2,897",$0,$0,"$313,104","$1,465,400","$844,604",66.3%,33.7%,76.6%,23.4%,80.7%,19.3%,97.4%,2.6%,63.4%,36.6%,0.0%,23.5%,24.1%,51.7%,0.7%,"$2,310,004"
Helen Keller Intl,AEBEFEXG,Rachael Nuwash,Tier 2 ($50K–$100K),"$35,000",19,"$424,494","$222,531","$496,994","$64,375","$1,069,751","$25,225",$0,$0,$310,"$2,599",$0,$0,$0,"$1,991,548","$314,730",65.6%,34.4%,88.5%,11.5%,97.7%,2.3%,,,86.4%,13.6%,8.5%,14.0%,34.4%,49.3%,2.3%,"$2,306,278"
ACN - Spain,AMHUSTQA,Henrique Lucena,,,18,"$1,225,359","$153,178","$307,486","$36,957","$402,492","$64,595",$797,$0,$0,$70,$0,$0,"$110,307","$1,936,134","$365,107",88.9%,11.1%,89.3%,10.7%,86.2%,13.8%,100.0%,0.0%,84.1%,15.9%,0.0%,70.2%,12.1%,17.1%,0.6%,"$2,301,242"
American Humane Society,ATZUNKUS,Natalia Zampieri,Tier 2 ($50K–$100K),"$30,000",25,"$597,999","$302,876","$369,476","$139,873","$303,034","$39,850","$134,336","$4,692","$96,364","$25,270",$0,$0,"$282,246","$1,501,209","$794,808",66.4%,33.6%,72.5%,27.5%,88.4%,11.6%,96.6%,3.4%,65.4%,34.6%,3.5%,59.5%,13.8%,26.3%,0.4%,"$2,296,017"
Both Hands,ALUQYLJK,Natalia Zampieri,Tier 2 ($50K–$100K),"$75,000",16,"$359,271","$5,287","$1,777,101","$37,390",$106,$0,$0,$0,$100,$0,$0,$0,"$115,083","$2,136,578","$157,760",98.5%,1.5%,97.9%,2.1%,100.0%,0.0%,,,93.1%,6.9%,8.6%,17.0%,34.0%,48.9%,0.1%,"$2,294,338"
Lustgarten Foundation,AEDVPKAW,Mandy Gatton,Tier 3 ($20K–$50K),"$120,000",25,"$1,779,441","$134,670","$107,814","$10,748","$40,978","$1,545",$0,$0,"$191,051","$19,836",$0,$0,$0,"$2,119,285","$166,798",93.0%,7.0%,90.9%,9.1%,96.4%,3.6%,,,92.7%,7.3%,4.3%,50.3%,19.0%,30.4%,0.3%,"$2,286,083"
