"Account Name","Website","Account Domain","Type","Account Stage","Account Status","NTEE Code (Map to Sub Sectors)","Non-Profit Sector","Non-Profit Sub-Sector","FRU - Sector","FRU - Subsector","TIER"
"Westminster Communities of Florida","westminstercommunitiesfl.org","westminstercommunitiesfl.org","Prospect","Prospect","Working","L11: Housing and Shelter Single Organization Support","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 2"
"All for Kids","all4kids.org","all4kids.org","Prospect","Prospect","Responded","I72: Child Abuse, Prevention of","I: Crime, Legal Related","Crime and Legal related Org - General","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 2"
"The Jewish Federation of Southern New Jersey","jewishsouthjersey.org","jewishsouthjersey.org","Prospect","Engaged Prospect","Meeting Lost","X30: Jewish","X: Religion Related, Spiritual Development","Jewish","Religion","Religion - Jewish","TIER 2"
"Global Communities","globalcommunities.org","globalcommunities.org","Prospect","Engaged Prospect","Meeting Lost","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 2"
"Muso Health","musohealth.org","musohealth.org","Prospect","Prospect","Working","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 2"
"Brandywine Valley SPCA","bvspca.org","bvspca.org","Prospect","Prospect","Meeting Lost","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 2"
"Penn Highlands Healthcare","phhealthcare.org","phhealthcare.org","Prospect","Prospect","Working","E21: Community Health Systems","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 2"
"Ottawa Mission","ottawamission.com","ottawamission.com","Customer","Customer Active","Customer","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 2"
"Doughboy","doughboy.org","doughboy.org","Prospect","","Responded","A80: Historical Societies, Historical Preservation","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 2"
"American Players Theatre","americanplayers.org","americanplayers.org","Prospect","Prospect","Working","A65: Theater","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 2"
"Action for the Climate Emergency","acespace.org","acespace.org","Prospect","Prospect","Working","C60: Environmental Education","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 2"
"MLHS","mlhs.org","mlhs.org","Prospect","Prospect","Responded","E21: Community Health Systems","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 2"
"Georgia Historical Society","georgiahistory.com","georgiahistory.com","Prospect","Prospect","Working","A80: Historical Societies, Historical Preservation","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 2"
"Maryland Science Center","mdsci.org","mdsci.org","Prospect","Prospect","Responded","A03: Arts, Culture and Humanities Professional Societies and Associations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 2"
"Obesity Action Coalition","obesityaction.org","obesityaction.org","Prospect","Prospect","Working","G40: Diseases of Specific Organs","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 2"
"First Descents","firstdescents.org","firstdescents.org","Prospect","Prospect","Working","G30: Cancer","G: Diseases, Disorders, Medical Disciplines","Cancer Treatment","Healthcare","Healthcare - Cancer","TIER 2"
"KidsCan","kidscan.org.nz","kidscan.org.nz","Prospect","Prospect","Meeting Lost","G30: Cancer","G: Diseases, Disorders, Medical Disciplines","Cancer Treatment","Healthcare","Healthcare - Cancer","TIER 2"
"Foundation for Appalachian Ohio","appalachianohio.org","appalachianohio.org","Prospect","Prospect","Responded","T31: Community Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"Solutions for Change","solutionsforchange.org","solutionsforchange.org","Prospect","Prospect","Working","P85: Homeless Persons Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 2"
"The Legal Aid Society of Cleveland","lasclev.org","lasclev.org","Prospect","Prospect","Working","I80: Legal Services","I: Crime, Legal Related","Legal Services","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 2"
"City of Hope","cityofhope.org","cityofhope.org","Prospect","Prospect","Responded","E11: Health Care Single Organization Support","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 2"
"International Campaign for Tibet","savetibet.org","savetibet.org","Prospect","Prospect","Working","Q70: International Human Rights","Q: International, Foreign Affairs, and National Security","International Human Rights","International Affairs","International Affairs - General","TIER 2"
"International Crisis Group","crisisgroup.org","crisisgroup.org","Prospect","Prospect","Nurture","Q40: International Peace and Security","Q: International, Foreign Affairs, and National Security","International Peace and Security","International Affairs","International Affairs - General","TIER 2"
"Migration Policy Institute","migrationpolicy.org","migrationpolicy.org","Prospect","Prospect","Responded","R20: Civil Rights, Advocacy for Specific Groups","R: Civil Rights, Social Action, Advocacy","Civil Rights, Advocacy for Specific Groups","Human Services","Human Services - Civil Rights, Social Justice","TIER 2"
"Friends Committee on National Legislation","fcnl.org","fcnl.org","Prospect","Prospect","Working","R40: Voter Education, Registration","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 2"
"Reproductive Freedom for All","reproductivefreedomforall.org","reproductivefreedomforall.org","Prospect","Prospect","Working","R61: Reproductive Rights","R: Civil Rights, Social Action, Advocacy","Reproductive Rights","Human Services","Human Services - Civil Rights, Social Justice","TIER 2"
"SAE International","sae.org","sae.org","Prospect","Prospect","Working","U03: Science and Technology Professional Societies and Associations","U: Science and Technology","Science & Technology Research Institutes, Services - General","Science & Technology","Science & Technology - General","TIER 2"
"American Academy of Physician Associates, Inc.","aapa.org","aapa.org","Prospect","Prospect","Working","S41: Promotion of Business","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"American Enterprise Institute","aei.org","aei.org","Prospect","Prospect","Working","V00: Social Science Research: General","V: Social Science Research Institutes","Social Science Research Institutes and Services - General","Public and Society Benefit","Public & Society Benefit - Social Science","TIER 2"
"Volunteers of America Los Angeles","voala.org","voala.org","Prospect","Prospect","Working","S80: Community Service Clubs","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
"United Nations Development Programme","undp.org","undp.org","Prospect","Prospect","Responded","M20: Disaster Preparedness and Relief Service","M: Public Safety","Disaster Preparedness and Relief Service","Human Services","Human Services - Public Safety","TIER 2"
"Trillium Health Partners Foundation","trilliumgiving.ca","trilliumgiving.ca","Customer","Customer New","Customer","E12: Fundraising and/or Fund Distribution","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 2"
"WVIA Public Media","wvia.org","wvia.org","Prospect","Prospect","Working","A32: Television","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 2"
"Urban League of Metropolitan Seattle","urbanleague.org","urbanleague.org","Prospect","Prospect","Meeting Lost","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","TIER 2"
"University of Illinois","uillinois.edu","uillinois.edu","Prospect","Prospect","Working","B80: Student Services and Organizations of Students","B: Education","Education related Org - General","Education","Education - General","TIER 2"
"Metropolitan Area Neighborhood Nutrition Alliance (MANNA)","mannapa.org","mannapa.org","Prospect","Prospect","Working","K30: Food Service, Free Food Distribution Programs","K: Food, Agriculture, and Nutrition","Food Banks, Food Pantries","Food & Nutrition","Food Banks","TIER 2"
"PCs for People","pcsforpeople.org","pcsforpeople.org","Prospect","Prospect","Working","P50: Personal Social Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 2"
"Fleet Science Center","https://www.fleetscience.org/","fleetscience.org","Prospect","Prospect","Working","A57: Science and Technology Museums","A: Arts, Culture, and Humanities","Museums","Arts & Culture","Arts & Culture - General","TIER 2"
"Dolphin Research Center","dolphins.org","dolphins.org","Prospect","Prospect","Responded","D30: Wildlife Preservation, Protection","D: Animal-Related","Animal Related - General","Animal Welfare","Animal Welfare - General","TIER 2"
"Archaeological Institute of America","archaeological.org","archaeological.org","Prospect","Prospect","Working","A03: Arts, Culture and Humanities Professional Societies and Associations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 2"
"Independent Institute","independent.org","independent.org","Prospect","Prospect","Working","W05: Public and Societal Benefit Research Institutes and Public Policy Analysis","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","TIER 2"
